stock1,stock2,p_value,hedge_ratio,spread_mean,spread_std
0001.HK,0012.HK,0.026127119301248013,1.0789116327079844,17.202800942286558,2.354242484797991
0001.HK,0316.HK,0.028433574039214905,0.06737033627911942,32.71255404465187,2.8478182010667297
0001.HK,1177.HK,0.03899515147492937,2.735831722749241,30.412639206543798,2.7399011125177775
0001.HK,1209.HK,0.018377235310671945,0.4606634365480598,25.803042312977738,2.574925683046512
0001.HK,2318.HK,0.028755278678653302,0.4036576547633801,24.250097490699318,2.5461347835547063
0001.HK,2388.HK,0.0492984659749879,0.5033710939939855,29.76639015795547,3.1994595281793856
0001.HK,3968.HK,0.03134337802694655,0.2857170912210074,30.15586857559241,2.57290615792831
0001.HK,9901.HK,0.020002082256971417,-0.13054445056072278,45.62145041870416,2.825381327437009
0003.HK,9618.HK,0.023732714309185037,0.019746761574791074,3.2256607885756647,0.7964577615035973
0005.HK,0762.HK,0.015494734887233703,8.202280544455277,13.888748288191772,4.376582579059276
0005.HK,0941.HK,0.04896864290247422,1.055741871038982,-3.2031344865207005,3.942560050145869
0005.HK,2899.HK,0.02623161596943547,4.574847778980105,-0.8070749457025411,6.8703914061880615
0006.HK,1038.HK,0.0009101548066707134,0.8545008925408133,5.354364197263823,0.9017871043031028
0012.HK,3968.HK,0.01812856420546888,0.23641900526429716,13.076559374882128,1.461877701554009
0016.HK,1109.HK,0.00833359563738302,1.6398438440459162,36.488312942443144,6.527227650891116
0016.HK,1209.HK,0.016352008909347605,1.17620396081722,41.34795872323216,5.3237573707375905
0027.HK,0285.HK,0.0412462749706805,-0.40915417900391504,52.757710117530316,6.269834440833408
0027.HK,0288.HK,0.00642617635457464,-5.221166303232163,65.22587943708896,4.806267426514149
0027.HK,0883.HK,0.0499697904660044,-1.0305971802328648,53.37555959307816,5.187671510389961
0027.HK,0992.HK,0.010463013911845934,-2.6052690065322057,62.107880652791295,5.497930879143485
0027.HK,1038.HK,0.01214649909770694,-0.8169496717702411,75.16425261335725,4.7979836182029745
0027.HK,1109.HK,0.024225923951073557,1.4932654233535756,1.3765639745377063,4.920214787561465
0027.HK,1378.HK,0.03745839946411844,-1.5187148698764483,53.34688656665198,5.53943753056309
0027.HK,1876.HK,0.02600632460905715,1.1285006538118378,24.39503618256475,3.9792533636576635
0027.HK,1997.HK,0.013278978794664486,0.8559365109798978,16.570853230526847,3.7342105305892237
0027.HK,2899.HK,0.039802468399912576,-1.2465114576334742,56.49761522274825,5.868807487306184
0027.HK,3692.HK,0.025625897255979906,-0.9644146509271843,56.48236348291841,5.9108021593678375
0027.HK,9961.HK,0.02413320636264826,-0.037669310041592935,52.76414387726695,5.689061072236512
0066.HK,0688.HK,0.022336153540083704,1.4243091713117533,8.975683079221053,2.918057438078607
0066.HK,0868.HK,0.04490445116807755,1.0714328691650237,18.684938062496272,2.4622076689660717
0066.HK,0992.HK,0.015876103924880293,-2.2716107038638027,49.18421774772912,3.3105578147345165
